[2025-08-07 14:35:13,452] INFO django.server log_message:213 - "OPTIONS /api/admin/stats/ HTTP/1.1" 200 0
[2025-08-07 14:35:13,453] INFO django.server log_message:213 - "OPTIONS /api/admin/analytics/?days=7 HTTP/1.1" 200 0
[2025-08-07 14:35:13,460] INFO django.server log_message:213 - "OPTIONS /api/admin/recent_activity/ HTTP/1.1" 200 0
[2025-08-07 14:35:13,507] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 14:35:13,866] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=7 HTTP/1.1" 500 105534
[2025-08-07 14:35:14,009] ERROR django.server log_message:213 - "GET /api/admin/stats/ HTTP/1.1" 500 105082
[2025-08-07 14:35:14,066] ERROR django.server log_message:213 - "GET /api/admin/recent_activity/ HTTP/1.1" 500 105281
[2025-08-07 14:35:22,917] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=7 HTTP/1.1" 500 105534
[2025-08-07 14:35:23,565] ERROR django.server log_message:213 - "GET /api/admin/stats/ HTTP/1.1" 500 105082
[2025-08-07 14:35:23,719] ERROR django.server log_message:213 - "GET /api/admin/recent_activity/ HTTP/1.1" 500 105281
[2025-08-07 14:35:36,522] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 14:35:36,942] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 14:35:38,524] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 14:35:38,543] INFO django.server log_message:213 - "OPTIONS /api/users/ HTTP/1.1" 200 0
[2025-08-07 14:35:38,546] INFO django.server log_message:213 - "OPTIONS /api/users/ HTTP/1.1" 200 0
[2025-08-07 14:35:38,733] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3555
[2025-08-07 14:35:40,691] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3555
[2025-08-07 14:36:32,149] INFO django.server log_message:213 - "OPTIONS /api/users/8/ HTTP/1.1" 200 0
[2025-08-07 14:36:32,846] ERROR django.server log_message:213 - "DELETE /api/users/8/ HTTP/1.1" 500 171634
[2025-08-07 14:37:09,573] INFO django.server log_message:213 - "OPTIONS /api/users/5/ HTTP/1.1" 200 0
[2025-08-07 14:37:09,696] WARNING django.server log_message:213 - "PUT /api/users/5/ HTTP/1.1" 400 75
[2025-08-07 14:37:24,552] WARNING django.server log_message:213 - "PUT /api/users/5/ HTTP/1.1" 400 75
[2025-08-07 14:59:58,712] WARNING django.server log_message:213 - "PUT /api/users/5/ HTTP/1.1" 400 75
